feature_id;cluster;feature_name;visual_definition;example_reference;notes
ns_0;number of subjects;missing person;A photo where there is no identifiable subject;8a63ea4dc2e0424c8ff836061bcf7df8_with_caption;
ns_1a;number of subjects;two adults;A photo where two adults are present;0b506285656b434b8085b463115e9fc9_with_caption;Sometimes age is not clearly identifiable.
ns_1b;number of subjects;adult + one child;A photo where one adult and one child is present;643b60cd5cec42c09e51eb1679e419a6_with_caption;
ns_2a;number of subjects;three adults;A photo where three adults are present;12e875f41264408a8a363bcbff8df69d_with_caption;
ns_2b;number of subjects;adult + two children;A photo where one adult and two children are present;9e9a7622bff44aabb3f1237b017a02e4_with_caption;
ns_3;number of subjects;four adults;A photo where four adults are present;c51113ed638f4d75be3cabcfc7668362_with_caption;
bg_0;background;non-black color;The background is not predominantly black and solid;4b167bbefc9642609f3f5772d458cdce_with_caption;
bg_1;background;patterns or shapes;Patterns or shapes are present in the background of the photo;1f22d6d386474b059f9b9d55e69953bb_with_caption;
bg_2;background;text is present;Text is present in the background of the photo;01f0d51717274ebc9e2482a27c8f1084_with_caption;This includes signs that look like letters but might not be an actual text/language.
bg_3;background;curtain;A curtain is present in the background of the photo;e891a3e9cf3a41cc83c61a1e44e887f7_with_caption;Curtains were very subtle sometimes, also includes wavy-like structures in the background that are similar to a curtain.
bg_4;background;photo booth;A space where one can go into to have their photograph taken ;6ce907215b0044acaca0a541cc6343f1_with_caption;"Sometimes the subject might be sitting in somewhat of a ""booth"" space, but it was not always clearly a photo booth. Only includes images in which this was clear."
bg_5;background;image;There is another image visible in the background;b60a5f9a86fc4605a03d8f4a8084fe85_with_caption;
lf_0;lighting/filters;photorealistic;A photo with the exactness of a photograph ;85ed21bc3d8a4561bbec22c9e3034a31_with_caption;This one can be difficult as sometimes some part of the image looked photorealistic but others did not. Only includes images in which this was clear.
lf_1;lighting/filters;animated;A photo made using animation techniques;01f0d51717274ebc9e2482a27c8f1084_with_caption;
lf_2;lighting/filters;beautification;The subject looks like their appearance was improved;d6911b7c17664d248f1bb358d3bfc14e_with_caption;This one is barely used, because usually it falls more under make-up.
lf_3;lighting/filters;reflection;A reflection of the subject is visible;6bca15c55f6846ec999761e4afbed4ad_with_caption;Includes both a reflection by another mirror-like object or a stand-alone mirrored representation of the same subject.
lf_4a;lighting/filters;high saturation;The color of the photo appears more vibrant and intense;6e53ad6e00ac4923a4515cb646667182_with_caption;
lf_4b;lighting/filters;low saturation;The color of the photo appears less vibrant and intense;23527905beea4a848b0391f237d83bff_with_caption;
lf_5a;lighting/filters;warm lighting;The color predominantly appears with shades that range from red, orange and yellow to a warm white;1d5c97bb52dc412d9cf32959c640fe86_with_caption;
lf_5b;lighting/filters;cool lighting;The color predominantly appears with more “blue light”;86778a9260af4b7bbc629d0733039980_with_caption;
lf_6a;lighting/filters;side lighting;A light that falls on a subject at roughly ninety degrees to the camera;0c48ac1e57514f0b99b66dd055387602_with_caption;It almost always looked like some shadow was falling onto one side of the face, hinting to side lighting. Used in more obvious cases.
lf_6b;lighting/filters;spotlight;A lamp projecting a beam of light directly on to a subject from above;1b69a26ba0b447bba297387186f29056_with_caption;This is only used if the light was clearly coming from the top, not frontal.
lf_6c;lighting/filters;bottom lighting;A light that is coming from below the subject ;898c6f04f4e9400d9c3ee7ac36e1d254_with_caption;
lf_6d;lighting/filters;back lighting;A light that is illuminating the subject from the back;1fde288210954976b881c4c10a730682_with_caption;
lf_7;lighting/filters;neon light;A light that is bright, glowing, and vibrant in appearance, often in electric hues like red, blue, green;2f2e5eec16834a3c8d9d8c73589ef1ed_with_caption;
lf_8;lighting/filters;b&w;A photo in black, white, shades of grey, and no other color;0cc120b78da14a40bf83ad61212b785d_with_caption;
lf_9;lighting/filters;grainy/milky quality;A photo of soft, muted, nostalgic, hazy atmosphere;09928f653c604c74bdab214ac96c8995_with_caption;
lf_10a;lighting/filters;low exposure;A photo that results in a darker picture, due to a lack of light;3ddc82d22403423daca86da470d0f4e6_with_caption;
lf_10b;lighting/filters;high exposure;A photo that results in a brighter picture, due to an abundance of light;7033be5e486f4c3ebb6f37fab31546f5_with_caption;
af_0;angle/framing;tilted;A photo where the camera axis is slightly tilted away from the vertical;8284fcab36d84587a931e151cad14fe5_with_caption;Does not count if the subject themselves is tilting their head or body, it should be the axis of the camera.
af_1;angle/framing;selfie;A photo that looks like it was taken by the subject themselves        ;0b685f8555d3431c9c89794d3781f3f9_with_caption;If someone is close-up because it is taken as a selfie, it is labeled only as selfie.
af_2a;angle/framing;close-up;A photo of the subject at close range;0bb2f6e1905f48428214e044cc2a7102_with_caption;Does not include selfies. The face should be clearly enlarged, should not include torso, can include neck.
af_2b;angle/framing;zoomed out;The subject is fully visible and seems further away ;2585a05be71f4609bfa1ab3421e55199_ittgwo_with_caption;The subject appears small and further away from the camera. Full-body ≠ zoomed-out.
af_3a;angle/framing;body cut off;A part of the subject's body is cropped out of the frame;0c797f39b3fa4ccba8626993019bb4d7_with_caption;"Only count it as ""body cut off"" if the body is cropped out vertically in the image. If the body is missing because of the original framing — for example, taken in a photobooth that doesn’t show the full body, or a selfie where part of the body is out of frame due to the camera angle — it does not count as cropped off."
af_3b;angle/framing;face cut off;The face is partially or completely missing from the image, by being cropped out of the frame;0b8bd069361d42038e697959a271f079_with_caption;Only includes the face being cut off, starting either vertically or horizontally from the eyebrows (top) or lips (bottom), does not include solely part of e.g. forehead or chin. Thus does not include overall 'head' without part of the face being cut off
af_4;angle/framing;side profile;A photo that depicts the subject's face partially or fully from the side;01b039b4019e4c6f9d1e2429b3207abf_with_caption;Counts as side profile if the contours of the nose are shown clearly by being positioned (slightly) sideways
af_5;angle/framing;portrait;A photo that is focusing on the face and expression of the subject;1e2a8153ee55499db85c6d1cf62ee403_with_caption;Includes full head and torso, including chest, not including waist. Subject should be facing the camera.
af_6;angle/framing;full-body;Skin that is pulled, twisted out of its original shape;2becf056047641bf8c227174584bc559_with_caption;Should include the full-body, although parts of the feet can be slightly cropped off, as long as the body is roughly 95% in frame.
af_7;angle/framing;morphed into object;The subject is morphing into another object;0ee61ce928d94ee9b35785ef053520f3_with_caption;The subject is either morphed as stuck in an object, or their body parts fade into the object by color / shape.
pp_0;posture/pose;fetal position;A body position in which the knees are to the chest, and arms are wrapped around the knees;5704e52ffc8040b399ba308a5f3f723f_with_caption;
pp_1;posture/pose;in motion;A body that appears to be moving while the photo is taken;728d2c87f12d4025b407318af155027f_with_caption;Images with arms raised often appear to be in motion.
pp_2;posture/pose;open facing;An unconscious body posture, typically with the arms and legs uncrossed;5b89d6117a3942d9a7daf2a4174f6bd2_with_caption;
pp_3;posture/pose;minimizing;A body posture in which the subject makes themselves smaller;1f22d6d386474b059f9b9d55e69953bb_with_caption;Difficult to code alongside hunched (as in difficult to decide which of the two applied, or both)
pp_4;posture/pose;crotch shot;A photo in which the legs are uncrossed and open, where the centre of the image is the crotch ;0b8bd069361d42038e697959a271f079_with_caption;
pp_5;posture/pose;cross-legged;A body posture with the legs closed and crossed over one another;e4f3807d683a477c9f3d28dbfa7a7845_with_caption;Includes both 'kleermakerszit' and crossing one leg over the other
pp_6;posture/pose;upright;A confident body posture with a straight back and shoulders back;0c47bed74c5a4134804da4cd087a0c35_with_caption;
pp_7;posture/pose;slouched;A posture in which the subject is sitting in a drooping way;0ba7dd63f7b04fbc8e0da4ac9491473d_with_caption;Usually laid back into the chair/object they appear to be sitting on 
pp_8;posture/pose;submissive;Putting the body in a lower, more guarded position;0cef84baaac4431ca2ca307389691e2a_with_caption;
pp_9;posture/pose;head tilted;A body where the neck is leaning to one side;1d9c6678d1ae4d77bcdb8efbf32ac897(1)_with_caption;
pp_10;posture/pose;suggestive;Open body language that appears to invite sexual activity;2be05867fd714bfea96603bf8ba09128_with_caption;Mostly images taken from above with subject looking up, and arms/hands close to the face or supporting the face (holding it up)
pp_11;posture/pose;physical touch;A photo where two or more people are physically touching each other;6dbd231d3b08439d8f20223c8b61ca3c_with_caption;
pp_12;posture/pose;hunched;A body posture in which the shoulders are raised and the torso is bent forward ;0fbaa332086e4a29b2ef80d4efeaae95_with_caption;
fs_0;fashion/clothing;see-through clothing;Attire which is transparent and/or sheer;dc238380b7bd471fa1f568187adde660_with_caption;
fs_1;fashion/clothing;cultural expression ;Attire that is related to a specific cultural background, or which holds specific cultural significance ;0deb04c65d54445eb15842940f22a4fd_with_caption;Includes mostly hijabs.
fs_2;fashion/clothing;patterned clothing;Attire on which there is a repeated decorative design;c5dcfda92eec431d991b5bde9d0e9cfa_with_caption;
fs_3;fashion/clothing;formal attire;Attire for an official, important occasion;124019170f5c483da41ee59f6fa0a125_with_caption;
fs_4;fashion/clothing;face paint;Bold, coloured paint to decorate the face;33727d022ccd4d15b41fa4967152495e_with_caption;
fs_5;fashion/clothing;barefoot;Lacking foot attire, no socks and shoes;2635d3a42c4243e38e751942da8dbd8a_with_caption;Barefoot images often with the feet being showcased, usually an emphasized feature of the image
fs_6;fashion/clothing;skin showing;Attire which is revealing of the skin;3f17d22354794c3088b42547526e6487_with_caption;
fs_7;fashion/clothing;non-mainstream clothing;Attire which is not the 'norm', and is alternative instead;018a1523d5254c87954ffc16e50ff8ab_with_caption.png;
fs_8;fashion/clothing;uniform;Distinctive clothing worn by members of the same organization, profession, or school children ;0e7bfcef19c549d8b1b6641aae52e08e_with_caption;Includes waiters and doctors.
fs_9;fashion/clothing;graphic clothing;Attire that has an image or custom design printed on it ;0b7cafd986d44c20add0ab0c82a4dd2a_with_caption;
fs_10;fashion/clothing;androgynous clothing;A combination of masculine and feminine characteristics in clothing - unisex;4d71ae5a7dc54b6cb20402eb8665ad88_with_caption;
fs_11a;fashion/clothing;nail polish;Paint for finger- and toe-nails;5b304525c6cc464eaf1b4a4c2bb343be_with_caption;Only tagged when obvious, as many of the hands are distorted.
fs_11b;fashion/clothing;scarf;Attire to wrap around one's neck, for warmth and style;a5f5410d9ce144f2b7ba00c3cb5c40ac_with_caption;
fs_11c;fashion/clothing;jewelry;Personal ornaments often made of metal that accessorize an outfit;0a4c8707ecab49c6b87309778db35495_with_caption;Includes necklaces, bracelets, earrings, rings. Does not include piercings.
fs_11d;fashion/clothing;tattoos;A form of body modification where tattoo ink (or dye/pigment) is punctured into the skin to make a (decorative) design;0e9c5eed18894571847ee895642803ba_with_caption;
fs_11e;fashion/clothing;make-up;Cosmetics which are applied to the face to enhance or alter the appearance ;2bb80f3b690e485a8147b8fbc42d2c3f_with_caption;
fs_11f;fashion/clothing;head accessory ;Decorative objects which can be worn on the head or in the hair;6f3066733cd74dc093d74b27fb277176_with_caption;Includes mostly hats and caps, sometimes headbands
fs_11g;fashion/clothing;gloves;Attire to keep the hands covered and warm;d8e74eb5405b4fbaacc1e65cb776601a_with_caption;Does not include boxing gloves
fs_12a;fashion/clothing;glasses;A pair of lenses set in a frame resting on the nose and ears;0b7cafd986d44c20add0ab0c82a4dd2a_with_caption;
fs_12b;fashion/clothing;sunglasses;Tinted glasses to protect the eyes from sunlight or glare;1edcffad2118463bb7d8a562bd6aac4d_with_caption;
fs_13;fashion/clothing;ripped jeans;Jean trousers which have tears in them;0cb99a8a6f55417ab4e09f0b361c7776_with_caption.png;
hr_0;hair;body;Hair grown on the body, usually on the arms and legs ;6d3107c604a440a5ad2014ee898e03c4_with_caption;
hr_1;hair;facial;Hair grown on the face, usually on the chin, cheeks, and upper lip area;1a33b20964dd4ac491a03ca9fb698657_with_caption;Mostly men, mostly beards.
hr_2a;hair;alternative;A broad and eclectic category of haircuts and styles that break away from mainstream trends;018a1523d5254c87954ffc16e50ff8ab_with_caption;Includes bangs, especially sharp bangs like the example given.
hr_2b;hair;braided;A complex structure or pattern woven into the hair;9a729335a554451186b351fe5f88b0ce_with_caption;
hr_2c;hair;dread locks;A hairstyle made of rope-like strands of hair;5e47bb8876184b13891204b7b74d45a9_with_caption;
hr_2d;hair;colored;Hair which has been dyed an unnatural colour;3c8d39a5e29f43e9833e6c7b5b604e38_with_caption;Includes platinum blonde, pink, green, blue, and purple. Not balayage.
hr_2e;hair;curly;A hair type characterized by a springy, corkscrew-type texture;1fd3192029354ed7a6b2dfc573e25d49_with_caption;
hn_0a;hands;fist;The fingers are curled inward and the thumb rests against or around them, forming a closed shape;f8280dd980cb4c7bb77dd14fbc85a0e5_with_caption;
hn_0b;hands;hand sign;A specific positioning of the fingers/hand used to convey a symbol, gesture, or meaning;8a8616fe9b5f4db9a019bbcd4ab6e72c_with_caption;The depicted symbol include a specific concept or idea, such as victory, peace, 'rock out', or similar.
hn_0c;hands;finger pointing;Extending one finger in a specific direction to point at a particular object or thing;2c115ca1096b4ddd9fea3ea4a9df888d_with_caption;Clear to convey a specific action or indication.
hn_0d;hands;waving;A gesture/greeting with one hand raised and fingers spread open, with the palm facing outward;1e23a58b0aab40aabc99743c69a5bab0_ittgwo_with_caption;Often includes eye contact from the subject, perhaps resembling a direct greeting to the camera, typical of real photographs.
hn_1;hands;hands held together;Two hands from the same subject touching or intertwined;836ae7515de34226b5ffd6067a07e765_with_caption;It includes highly deformed hands but whose arms converge in the same direction recalling the gesture.
hn_2a;hands;hands close to face;One or both hands positioned near to/touching the face;0d70511c22bf45058edb14092a5143d9_with_caption;The hands should visibly interact with the face, either through a touch of fingers or the full contact of the entire hand.
hn_2b;hands;hands on head;A posture where both hands are placed on top of the head/hair;3cd36c3b9cf14f95a1dca518f77a6ad1_with_caption;The hands are visibly positioned on the head.
hn_3;hands;hands tied;The hands are bound together with a restraint around the wrists;0cef84baaac4431ca2ca307389691e2a_with_caption;Where present, the object to be handcuffed must be clear and visible.
